order, ETD, destination, car, platform, echizen_takefu, hoyama(1), kunitaka(1), takefu, kunitaka(2), hoyama(2), jindai, ETA
1, 0:0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 8:15
2, 0:0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 8:35
3, 8:15, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 8:50
4, 8:40, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 8:55
5, 9:15, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 9:55
6, 9:40, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 10:20
7, 10:00, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 10:26
8, 10:40, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 11:11
9, 10:45, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 11:20
10, 11:40, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 12:20
11, 12:20, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 12:55
12, 12:25, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 12:41
13, 13:35, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 14:23
14, 13:55, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 14:12
15, 14:37, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 15:23
16, 14:40, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0
17, 15:25, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 16:18
18, 16:25, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0
19, 16:25, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 17:13
20, 17:20, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0
21, 18:05, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0
22, 18:05, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 18:48
23, 19:10, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 19:53
24, 20:07, 0, 1, 2, 1, 0, 1, 1, 0, 1, 0, 0
